,idno,author-name,author-gender,title,year,supergenre,genre,availability,genre-label,subgenre,decade
nl0002,nl0002,Payro,male,Moreira,1910,narrative,novel,publicdomain,divertidas aventuras,costumbrista,1910s
nl0003,nl0003,Payro,male,Laucha,1906,narrative,short novel,publicdomain,n.av.,costumbrista,1900s
nl0004,nl0004,Payro,male,Inca,1905,narrative,novel,publicdomain,n.av.,historical,1900s
nl0011,nl0011,Cambaceres,male,Rumbo,1885,narrative,novel,publicdomain,n.av.,naturalistic,1880s
nl0012,nl0012,Cambaceres,male,Sangre,1887,narrative,novel,publicdomain,n.av.,naturalistic,1880s
nl0021,nl0021,Frias,male,Miserias,1916,narrative,novel,publicdomain,n.av.,autobiographical,1910s
nl0022,nl0022,Frias,male,Tomochic,1892,narrative,novel,publicdomain,novela histórica mexicana,social,1890s
nl0029,nl0029,Sicardi,male,Extrano,1894,narrative,novel,publicdomain,n.av.,naturalistic,1890s
nl0031,nl0031,Sicardi,male,Paloche,1899,narrative,novel,publicdomain,n.av.,naturalistic,1890s
nl0033,nl0033,Sicardi,male,Justicia,1902,narrative,novel,publicdomain,n.av.,naturalistic,1900s
nl0034,nl0034,Cambaceres,male,Musica,1884,narrative,novel,publicdomain,n.av.,naturalistic,1880s
nl0046,nl0046,Ocantos,male,Promision,1897,narrative,novel,publicdomain,n.av.,family,1890s
nl0047,nl0047,Ocantos,male,Quilito,1891,narrative,novel,publicdomain,n.av.,family,1890s
nl0048,nl0048,Ocantos,male,Perfecto,1902,narrative,novel,publicdomain,n.av.,family,1900s
nl0053,nl0053,Gutierrez,male,Moreira,1880,narrative,novel,publicdomain,n.av.,gaucho,1880s
nl0054,nl0054,Gutierrez,male,Chacho,1884,narrative,novel,publicdomain,n.av.,gaucho,1880s
nl0055,nl0055,Gutierrez,male,Montoneros,1884,narrative,novel,publicdomain,n.av.,gaucho,1880s
nl0081,nl0081,Bunge,male,Sangre,1904,narrative,novel,publicdomain,n.av.,historical,1900s
nl0082,nl0082,Bunge,male,Perez,1907,narrative,short novel,publicdomain,n.av.,sentimental,1900s
nl0111,nl0111,Bunge,male,Grande,1907,narrative,short novel,publicdomain,n.av.,historical,1900s
nl0123,nl0123,Frias,male,Realidades,1896,narrative,short novel,publicdomain,n.av.,social,1890s
nl0129,nl0129,Cuellar,male,Fuerenos,1883,narrative,short novel,publicdomain,n.av.,costumbrista,1880s
nl0130,nl0130,Cuellar,male,NocheBuena,1890,narrative,short novel,publicdomain,n.av.,costumbrista,1890s
nl0131,nl0131,Cuellar,male,BaileCochino,1885,narrative,novel,publicdomain,n.av.,costumbrista,1880s
