Orgueilleux	Ag	orgueilleux
mouvement	Nc	mouvement
des	S+Da	de+le|de+les
âmes	Nc	âme
généreuses	Ag	généreux
,	Fw	,
Qui	Vvc	qui
jamais	Rg	jamais
sans	S	sans
régner	Vvn	régner
ne	Rp	ne
peuvent	Vvc	pouvoir
être	Vun	être
heureuses	Ag	heureux
,	Fw	,
Passion	Nc	passion
des	S+Da	de+le|de+les
grands	Ag	grand
cours	Nc	cour|cours|court
,	Fw	,
dont	Pr	dont
les	Da	le
soins	Nc	soin
glorieux	Ag	glorieux
Ne	Vvc	ne
sauraient	Vvc	savoir
rien	Pi	rien
souffrir	Vvn	souffrir
qui	Pr	qui
soit	Vuc	être
au	S+Da	à+le
dessus	Nc	dessus
d'	S	de
eux	Pp	eux
;	Fw	;
Superbe	Vvc	superbe
ambition	Nc	ambition
,	Fw	,
dont	Pr	dont
l'	Da	le
ardeur	Nc	ardeur
sans	S	sans
seconde	Nc	second|seconde
Ne	Vvc	ne
se	Pp	il
laisse	Vvc	laisser
borner	Vvn	borner
que	Cs	que
des	Dn	un
bornes	Nc	borne
du	S+Da	de+le
monde	Nc	monde
:	Fw	:
Tu	Pp	tu
me	Pp	je
flattais	Vvc	flatter
d'	S	de
un	Dn	un
rang	Nc	rang
que	Pr	que
l'	Pp	il
on	Pp	on
me	Pp	je
vient	Vvc	venir
ravir	Vvn	ravir
,	Fw	,
Une	Vvc	une
autre	Pi	autre
va	Vvc	aller
régner	Vvn	régner
,	Fw	,
et	Cc	et
nous	Pp	nous
allons	Vvc	aller
servir	Vvn	servir
,	Fw	,
Et	Vvc	et
Stratonice	Vvc	stratonice
enfin	Rg	enfin
en	S	en
Syrie	Nc	syrie
arrivée	Ge	arriver
Doit	Vvc	devoir
ce	Dd	ce
soir	Nc	soir
être	Vun	être
au	S+Da	à+le
trône	Nc	trône
à	S	à
mes	Ds	mon
yeux	Nc	œil
élevée	Ge	élever
Que	Vvc	que
me	Pp	je
peut	Vvc	pouvoir
maintenant	Rg	maintenant
servir	Vvn	servir
ton	Ds	ton
vain	Ag	vain
transport	Nc	transport
?	Fs	?
Que	Pt	que
fais	Vvc	faire
-tu	Vvn	-tu
dans	S	dans
mon	Ds	mon
cour	Nc	cour
lorsque	Cs	lorsque
l'	Da	le
espoir	Nc	espoir
en	S	en
sort	Nc	sort
?	Fs	?
Va	Vvc	aller
laisse	Vvc	laisser
-moi	Vvc	-moi
tomber	Vvn	tomber
dans	S	dans
un	Dn	un
sort	Nc	sort
plus	Rg	plus
tranquille	Ag	tranquille
,	Fw	,
Ne	Vvc	ne
me	Pp	je
tourmente	Vvc	tourmenter
plus	Rg	plus
par	S	par
un	Dn	un
soin	Nc	soin
inutile	Ag	inutile
,	Fw	,
Et	Vvc	et
souffre	Vvc	souffrir
dans	S	dans
mes	Ds	mon
maux	Nc	mal
que	Pr	que
j'	Pp	je
ai	Vuc	avoir
au	S+Da	à+le
moins	Nc	moins
le	Da	le
bien	Nc	bien
De	Vvc	de
ne	Rp	ne
rien	Pi	rien
désirer	Vvn	désirer
quand	Cs	quand
je	Pp	je
ne	Rp	ne
suis	Vuc	être
plus	Rg	plus
rien	Pi	rien
.	Fs	.
Mais	Cc	mais
,	Fw	,
ô	I	oh
voeux	Nc	vœu
superflus	Ag	superflu
!	Fs	!
C'	Pd	ce
est	Vuc	être
en	S	en
vain	Ag	vain
que	Cs	que
je	Pp	je
tente	Vvc	tenter
De	Vvc	de
bannir	Vvn	bannir
de	S	de
mon	Ds	mon
cour	Nc	cour
le	Da	le
soin	Nc	soin
qui	Pr	qui
me	Pp	je
tourmente	Vvc	tourmenter
;	Fw	;
Le	Vvc	le
ciel	Nc	ciel
,	Fw	,
de	S	de
qui	Pr	qui
nous	Pp	nous
