Demeure	Vvc	demeurer
,	Fw	,
Parricide	Nc	parricide
,	Fw	,
arrête	Vvc	arrêter
,	Fw	,
sacrilège	Nc	sacrilège
!	Fs	!
Quoi	Pt	quoi
!	Fs	!
Le	Da	le
sang	Nc	sang
Ottoman	Ag	ottoman
n'	Rp	ne
a	Vuc	avoir
point	Rg	point
de	S	de
privilège	Nc	privilège
:	Fw	:
On	Pp	on
l'	Pp	il
épanche	Vvc	épancher
à	S	à
ma	Ds	mon
vue	Nc	vue
,	Fw	,
on	Pp	on
perd	Vvc	perdre
,	Fw	,
devant	S	devant
mes	Ds	mon
yeux	Nc	œil
.	Fs	.
Le	Da	le
plus	Rg	plus
grand	Ag	grand
des	S+Da	de+le|de+les
mortels	Nc	mortel
et	Cc	et
le	Da	le
plus	Rg	plus
glorieux	Ag	glorieux
!	Fs	!
Ah	I	ah
c'	Pd	ce
est	Vuc	être
fait	Ge	faire
,	Fw	,
il	Pp	il
est	Vuc	être
mort	Ge	mourir
,	Fw	,
j'	Pp	je
en	Pp	en
suis	Vuc	être
trop	Rg	trop
assurée	Ge	assurer
,	Fw	,
De	Vvc	de
cet	Dd	ce
illustre	Ag	illustre
corps	Nc	corps
l'	Da	le
âme	Nc	âme
s'	Pp	se
est	Vuc	être
séparée	Ge	séparer
!	Fs	!
Quel	Dt	quel
bruit	Nc	bruit
s'	Pp	se
est	Vuc	être
élevé	Ge	élever
qui	Pr	qui
s'	Pp	se
augmente	Vvc	augmenter
si	Rg	si
fort	Rg	fort
?	Fs	?
Achevez	Vvc	achever
inhumains	Ag	inhumain
!	Fs	!
C'	Pd	ce
est	Vuc	être
Madame	Nc	madame
qui	Pr	qui
dort	Vvc	dormir
.	Fs	.
C'	Pd	ce
est	Vuc	être
un	Dn	un
songe	Nc	songe
fâcheux	Ag	fâcheux
dont	Pr	dont
elle	Pp	il
est	Vuc	être
travaillée	Ge	travailler
.	Fs	.
Il	Pp	il
faut	Vvc	faillir|falloir
la	Pp	il
réveiller	Vvn	réveiller
;	Fw	;
mais	Cc	mais
elle	Pp	il
est	Vuc	être
réveillée	Ge	réveiller
.	Fs	.
Ô	Vvc	ô
sommeil	Nc	sommeil
outrageux	Ag	outrageux
qui	Pr	qui
me	Pp	je
trouble	Vvc	troubler
si	Rg	si
fort	Rg	fort
,	Fw	,
On	Vvc	on
peut	Vvc	pouvoir
bien	Rg	bien
t'	Pp	tu
appeler	Vvn	appeler
le	Da	le
frère	Nc	frère
de	S	de
la	Da	le
mort	Nc	mort
!	Fs	!
Puis	Vvc	pouvoir
qu'	Cs	que
assis	Ge	asseoir
sur	S	sur
nos	Ds	notre
yeux	Nc	œil
avec	S	avec
tes	Ds	ton
noires	Ag	noir
ailes	Nc	aile
Tu	Vvc	tu
donnes	Nc	donne|donné
des	S+Da	de+le|de+les
frayeurs	Nc	frayeur
et	Cc	et
des	S+Da	de+le|de+les
peines	Nc	peine
mortelles	Ag	mortel
.	Fs	.
Léontine	Vvc	léontine
!	Fs	!
Madame	Nc	madame
!	Fs	!
Ah	I	ah
!	Fs	!
Viens	Vvc	venir
me	Pp	je
consoler	Vvn	consoler
D'	Nc	d'
une	Dn	un
vaine	Ag	vain
douleur	Nc	douleur
dont	Pr	dont
je	Pp	je
ne	Rp	ne
puis	Vvc	pouvoir
parler	Vvn	parler
,	Fw	,
D'	Nc	d'
un	Dn	un
songe	Nc	songe
furieux	Ag	furieux
qui	Pr	qui
m'	Pp	je
a	Vuc	avoir
donné	Ge	donner
des	S+Da	de+le|de+les
peines	Nc	peine
,	Fw	,
Par	Nc	par
qui	Pr	qui
mon	Ds	mon
sang	Nc	sang
encore	Rg	encore
est	Vuc	être
figé	Ge	figer
dans	S	dans
mes	Ds	mon
veines	Nc	veine
;	Fw	;
Et	Vvc	et
qui	Pr	qui
sera	Vuc	être
suivi	Ge	suivre
de	S	de
si	Rg	si
mauvais	Ag	mauvais
effets	Nc	effet
Que	Vvc	que
possible	Ag	possible
il	Pp	il
faudra	Vvc	faillir|falloir
succomber	Vvn	succomber
sous	S	sous
le	Da	le
faix	Nc	faix
.	Fs	.
C'	Pd	ce
est	Vuc	être
un	Dn	un
songe	Nc	songe
,	Fw	,
Madame	Nc	madame
,	Fw	,
un	Dn	un
déceveur	Nc	déceveur
,	Fw	,
un	Dn	un
traître	Nc	traître
,	Fw	,
Dont	Vvc	dont
on	Pp	on
est	Vuc	être
garanti	Ge	garantir
dès	S	dès
qu'	Cs	que
on	Pp	on
l'	Pp	il
a	Vuc	avoir
pu	Ge	pouvoir
connaître	Vvn	connaître
;	Fw	;
Toujours	Vvc	toujours
à	S	à
bon	Ag	bon
augure	Nc	augure
on	Pp	on
prend	Vvc	prendre
les	Da	le
plus	Rg	plus
mauvais	Ag	mauvais
,	Fw	,
L'	Vvc	l'
image	Nc	image
de	S	de
la	Da	le
Guerre	Nc	guerre
y	Pp	y
figure	Vvc	figurer
la	Da	le
Paix	Nc	paix
;	Fw	;
Ses	Vvc	ses
matières	Nc	matière
de	S	de
pleurs	Nc	pleur
montrent	Vvc	montrer
que	Cs	que
l'	Pp	il
on	Pp	on
doit	Vvc	devoir
rire	Vvn	rire
,	Fw	,
Et	Vvc	et
ce	Pd	ce
qu'	Pr	que
il	Pp	il
a	Vuc	avoir
de	Dn	un
doux	Ag	doux
est	Vuc	être
ce	Pd	ce
qu'	Pr	que
il	Pp	il
a	Vuc	avoir
de	S	de
pire	Nc	pire
.	Fs	.
Je	Pp	je
croirais	Vvc	croire
comme	S	comme
toi	Pp	tu
que	Cs	que
toute	Di	tout
cette	Dd	ce
peur	Nc	peur
Naîtrait	Vvc	naîtrait
d'	S	de
une	Dn	un
chimère	Nc	chimère
et	Cc	et
d'	S	de
un	Dn	un
songe	Nc	songe
trompeur	Nc	trompeur
,	Fw	,
N'	Vvc	n'
était	Vuc	être
que	Rg	que
nos	Ds	notre
apprêts	Nc	apprêt|apprêts
et	Cc	et
la	Da	le
rumeur	Nc	rumeur
publique	Ag	public
Me	Vvc	me
le	Pp	il
font	Vvc	faire
estimer	Vvn	estimer
un	Dn	un
songe	Nc	songe
prophétique	Ag	prophétique
;	Fw	;
Mais	Vvc	mais
,	Fw	,
Fatime	Nc	fatime
!	Fs	!
Sans	S	sans
toi	Pp	tu
je	Pp	je
ne	Rp	ne
craindrais	Vvc	craindre
plus	Rg	plus
rien	Pi	rien
.	Fs	.
La	Da	le
fille	Nc	fille
du	S+Da	de+le
Mufti	Nc	mufti
s'	Pp	se
oppose	Vvc	opposer
à	S	à
notre	Ds	notre
bien	Nc	bien
;	Fw	;
En	Vvc	en
voyant	Ga	voir
son	Ds	son
portrait	Nc	portrait
,	Fw	,
Osman	Nc	osman
la	Pp	il
crut	Vvc	croire|croître
si	Rg	si
belle	Ag	beau
,	Fw	,
Que	Vvc	que
son	Ds	son
retardement	Nc	retardement
n'	Rp	ne
est	Vuc	être
que	Rg	que
pour	S	pour
l'	Da	le
amour	Nc	amour
d'	S	de
elle	Pp	il
.	Fs	.
Mais	Cc	mais
comment	Pt	comment
parut-il	Vvc	parut-il
ce	Dd	ce
portrait	Nc	portrait
si	Rg	si
fatal	Ag	fatal
,	Fw	,
De	Vvc	de
qui	Pr	qui
l'	Da	le
enchantement	Nc	enchantement
nous	Pp	nous
cause	Vvc	causer
tant	Rg	tant
de	S	de
mal	Nc	mal
?	Fs	?
Fut	Vuc	être
-ce	Vvc	-ce
par	S	par
accident	Nc	accident
ou	Pr	où
fut	Vuc	être
-ce	Vvc	-ce
par	S	par
adresse	Nc	adresse
.	Fs	.
Que	Cs	que
tu	Pp	tu
le	Pp	il
laissas	Vvc	laisser
choir	Vvn	choir
aux	S+Da	à+les
pieds	Nc	pied
de	S	de
sa	Ds	son
Hautesse	Nc	hautesse
?	Fs	?
Ce	Pd	ce
fut	Vuc	être
par	S	par
un	Dn	un
malheur	Nc	malheur
que	Pr	que
je	Pp	je
ne	Rp	ne
comprends	Vvc	comprendre
pas	Rg	pas
:	Fw	:
Avec	S	avec
ce	Dd	ce
bracelet	Nc	bracelet
il	Pp	il
tomba	Vvc	tomber
de	S	de
mon	Ds	mon
bras	Nc	bras
.	Fs	.
Un	Dn	un
soupçon	Nc	soupçon
là-dessus	Rg	là-dessus
me	Pp	je
tombe	Vvc	tomber
en	S	en
la	Da	le
pensée	Nc	pensée
,	Fw	,
Que	Vvc	que
Fatime	Nc	fatime
en	S	en
ce	Dd	ce
fait	Nc	fait
peut	Vvc	pouvoir
être	Vun	être
intéressée	Ge	intéresser
,	Fw	,
